P1,P2,P3,P4,P5,P6
0.0,0.0,0.0,0.0,0.0,0.0
0.2773500981126146,0.0,0.0,0.0,0.0,0.30151134457776363
0.0,0.0,0.0,0.0,0.0,0.0
0.16012815380508716,0.14433756729740646,0.0,0.0,0.0,0.0
0.16012815380508716,0.0,0.0,0.1666666666666667,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.5163977794943223,0.0,0.3651483716701108,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19611613513818402,0.17677669529663687,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17407765595569785
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.0
0.19611613513818402,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.25,0.0,0.0,0.0,0.0
0.1386750490563073,0.125,0.0,0.14433756729740646,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.30151134457776363
0.12403473458920845,0.11180339887498948,0.0,0.0,0.0,0.40451991747794525
0.0,0.0,0.22360679774997896,0.0,0.31622776601683794,0.30151134457776363
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.45226701686664544
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.19611613513818402,0.17677669529663687,0.0,0.2041241452319315,0.0,0.21320071635561041
0.16012815380508716,0.14433756729740646,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17677669529663687,0.0,0.2041241452319315,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17677669529663687,0.0,0.2041241452319315,0.0,0.21320071635561041
0.0,0.17677669529663687,0.0,0.2041241452319315,0.22360679774997896,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.2773500981126146,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.14433756729740646,0.0,0.0,0.0,0.0
0.19611613513818402,0.0,0.0,0.2041241452319315,0.0,0.0
0.11322770341445959,0.10206207261596577,0.0,0.0,0.0,0.12309149097933275
0.0,0.0,0.0,0.0,0.0,0.0
0.16012815380508716,0.0,0.0,0.0,0.0,0.3481553119113957
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19611613513818402,0.17677669529663687,0.0,0.0,0.0,0.0
0.2773500981126146,0.0,0.0,0.0,0.0,0.30151134457776363
0.0,0.0,0.25819888974716115,0.0,0.3651483716701108,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2886751345948129,0.0,0.0
0.16012815380508716,0.0,0.0,0.0,0.0,0.5222329678670936
0.12403473458920845,0.11180339887498948,0.0,0.0,0.1414213562373095,0.13483997249264842
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.2886751345948129,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.16012815380508716,0.0,0.0,0.0,0.0,0.17407765595569785
0.0,0.35355339059327373,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.1386750490563073,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2886751345948129,0.0,0.0,0.0,0.17407765595569785
0.0,0.0,0.0,0.0,0.0,0.0
0.1386750490563073,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11180339887498948,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14433756729740646,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.22360679774997896,0.0
0.39223227027636803,0.0,0.0,0.2041241452319315,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.1386750490563073,0.375,0.0,0.14433756729740646,0.0,0.0
0.19611613513818402,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.35355339059327373,0.0,0.0,0.0,0.0
0.0,0.35355339059327373,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.125,0.0,0.0,0.0,0.30151134457776363
0.16012815380508716,0.14433756729740646,0.0,0.0,0.0,0.17407765595569785
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.42640143271122083
0.0,0.17677669529663687,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19611613513818402,0.0,0.0,0.0,0.0,0.21320071635561041
0.19611613513818402,0.0,0.0,0.0,0.0,0.21320071635561041
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2773500981126146,0.0,0.0,0.0,0.0,0.0
